Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Symptoms,"symp_unusual_given_chest_pain [US]
symp_chest_pain_unusual [GLOBAL]",Percentage of respondents reporting their chest pain is new or unusal out of all respondents reporting chest pain,B2c == 'persistent pain or pressure in your chest' / B2 == 'persistent pain or pressure in your chest',B1b_x8 == 'yes' / B1_8 == 'yes',"B2c, B2",B1b_x8,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_nausea [US]
symp_nausea_unusual [GLOBAL]",Percentage of respondents reporting their nausea is new or unusal out of all respondents reporting nausea,B2c == 'nausea or vomiting' / B2 == 'nausea or vomiting',B1b_x9 == 'yes' / B1_9 == 'yes',"B2c, B2",B1b_x9,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_anosmia [US]
anosmia_unusual [GLOBAL]",Percentage of respondents reporting their loss of smell or taste is new or unusal out of all respondents reporting loss of smell or taste,B2c == 'loss of smell or taste' / B2 == 'loss of smell or taste',B1b_x10 == 'yes' / B1_10 == 'yes',"B2c, B2",B1b_x10,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_eye_pain [US]
symp_eye_pain_unusual [GLOBAL]",Percentage of respondents reporting their eye pain is new or unusual out of all respondents reporting eye pain,B2c == 'eye pain' / B2 == 'eye pain',B1b_x11 == 'yes' / B1_11 == 'yes',"B2c, B2",B1b_x11,2020-09-06,2021-08-07,2020-06-21,2021-09-04
Symptoms,"symp_unusual_given_headache [US]
symp_headache_unusual [GLOBAL]",Percentage of respondents reporting their headache is new or unusal out of all respondents reporting headache,B2c == 'headaches' / B2 == 'headaches',B1b_x12 == 'yes' / B1_12 == 'yes',"B2c, B2",B1b_x12,2020-11-22,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_chills [US]
symp_chills_unusual [GLOBAL]",Percentage of respondents reporting their chills are new or unusal out of all respondents reporting chills,B2c == 'chills' / B2 == 'chills',B1b_x13 == 'yes' / B1_13 == 'yes',"B2c, B2",B1b_x13,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_sleep_changes [US]
symp_sleep_changes_unusual [GLOBAL]",Percentage of respondents reporting their sleep changes are new or unusual out of all respondents reporting sleep changes,B2c == 'changes in sleep' / B2 == 'changes in sleep',B1b_x14 == 'yes' / B1_14 == 'yes',"B2c, B2",B1b_x14,2020-11-22,2021-08-07,2020-11-22,2021-09-04
Symptoms,"symp_unusual_given_shortness_breath [US]
symp_shortness_breath_unusual [GLOBAL]",Percentage of respondents reporting their shortness of breath is new or unusual out of all respondents reporting shortness of breath,B2c == 'shortness of breath' / B2 == 'shortness of breath',NA,"B2c, B2",NA,2020-09-06,2022-06-25,NA,NA
Symptoms,"symp_unusual_given_nasal_congestion [US]
symp_nasal_congestion_unusual [GLOBAL]",Percentage of respondents reporting their nasal congestion is new or unusual out of all respondents reporting nasal congestion,B2c == 'nasal congestion' / B2 == 'nasal congestion',NA,"B2c, B2",NA,2020-09-06,2021-08-07,NA,NA
Symptoms,"symp_unusual_given_runny_nose [US]
symp_runny_nose_unusual [GLOBAL]",Percentage of respondents reporting their runny nose is new or unusual out of all respondents reporting runny nose,B2c == 'runny nose' / B2 == 'runny nose',NA,"B2c, B2",NA,2020-09-06,2021-08-07,NA,NA
Symptoms,"symp_unusual_given_diarrhea [US]
symp_diarrhea_unusual [GLOBAL]",Percentage of respondents reporting their diarrhea is new or unusual out of all respondents reporting diarrhea,B2c == 'diarrhea' / B2 == 'diarrhea',NA,"B2c, B2",NA,2020-09-06,2022-06-25,NA,NA
Symptoms,"symp_unusual_given_other [US]
symp_other_unusual [GLOBAL]","Percentage of respondents reporting another, unlisted symptom is new or unusual out of all respondents reporting another symptom",B2c == 'Other symptom not listed' / B2 == 'Other symptom not listed',NA,"B2c, B2",NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_fever,Percentage of respondents reporting their fever is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'fever' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_cough,Percentage of respondents reporting their cough is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'cough' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_breathing,Percentage of respondents reporting their difficulty breathing is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'difficulty breathing' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_tired,Percentage of respondents reporting their fatigue is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'tiredness or exhaustion' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_stuffy_nose,Percentage of respondents reporting their stuffy or runny nose is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'stuffy or runny nose' / any response to B2c,NA,B2c,NA,2021-05-16,2022-06-25,NA,NA
Symptoms,unusual_symptom_muscle,Percentage of respondents reporting their aches or muscle pain is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'muscle or joint aches' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_sorethroat,Percentage of respondents reporting their sore throat is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'sore throat' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_chestpain,Percentage of respondents reporting their chest pain is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'persistent pain or pressure in your chest' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_nausea,Percentage of respondents reporting their nausea is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'nausea or vomiting' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_anosmia,Percentage of respondents reporting their loss of smell or taste is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'loss of smell or taste' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_eyepain,Percentage of respondents reporting their eye pain is new or unusual out of all respondents experiencing any unusual symptom,B2c == 'eye pain' / any response to B2c,NA,B2c,NA,2020-09-06,2021-08-07,NA,NA
Symptoms,unusual_symptom_headache,Percentage of respondents reporting their headache is new or unusal out of all respondents experiencing any unusual symptom,B2c == 'headaches' / any response to B2c,NA,B2c,NA,2020-11-22,2022-06-25,NA,NA
Symptoms,unusual_symptom_chills,Percentage of respondents reporting their chills are new or unusal out of all respondents experiencing any unusual symptom,B2c == 'chills' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_sleep_changes,Percentage of respondents reporting their sleep changes are new or unusual out of all respondents experiencing any unusual symptom,B2c == 'changes in sleep' / any response to B2c,NA,B2c,NA,2020-11-22,2021-08-07,NA,NA
Symptoms,unusual_symptom_shortness_breath,Percentage of respondents reporting their shortness of breath is new or unusual out of all respondents experiencing any unusual symptom,B2c == 'shortness of breath' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_congestion,Percentage of respondents reporting their nasal congestion is new or unusual out of all respondents experiencing any unusual symptom,B2c == 'nasal congestion' / any response to B2c,NA,B2c,NA,2020-09-06,2021-08-07,NA,NA
Symptoms,unusual_symptom_runnynose,Percentage of respondents reporting their runny nose is new or unusual out of all respondents experiencing any unusual symptom,B2c == 'runny nose' / any response to B2c,NA,B2c,NA,2020-09-06,2021-08-07,NA,NA
Symptoms,unusual_symptom_diarrhea,Percentage of respondents reporting their diarrhea is new or unusual out of all respondents experiencing any unusual symptom,B2c == 'diarrhea' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,unusual_symptom_other,"Percentage of respondents reporting another, unlisted symptom is new or unusual out of all respondents experiencing any unusual symptom",B2c == 'Other symptom not listed' / any response to B2c,NA,B2c,NA,2020-09-06,2022-06-25,NA,NA
Symptoms,cmty_covid,Percentage of respondents that report knowing someone that is sick with a fever and either a cough or difficulty breathing,NA,B3 == 'yes' / any response to B3,NA,B3,NA,NA,2020-04-26,2022-06-25
Symptoms,sick_spending_time_7d,Percentage of people that report having spent time with someone who has symptoms,NA,B5 == 'yes' / any response to B5,NA,B5,NA,NA,2020-04-26,2021-09-04
Testing,ever_tested,Percentage of people who report having been tested for COVID-19,B8 == 'yes' / any response to B8,B6 == 'yes' / any response to B6,B8,B6,2020-09-06,2021-08-07,2020-04-26,2021-09-04
Testing,tested_14d,"Percentage of people who were tested for COVID-19 in the past 14 days, regardless of their test result",B10 == 'yes' / any response to B10,B7 == 'yes' / any response to B7,B10,B7,2020-09-06,2022-06-25,2020-04-26,2022-06-25
Testing,tested_positive_14d,Percentage of people who tested positive for COVID-19 in the past 14 days,B10a == 'yes' / any response to B10a,"B8 == 'yes' & B7 == ""yes' / any response to B8",B10a,B8,2020-09-06,2022-06-25,2020-04-26,2021-09-04
Testing,pay_test,"Percentage of respondents that report having to pay for the COVID-19 test, out of those that were tested in the past 14 days.",NA,B9 == 'yes' / any response to B9,NA,B9,NA,NA,2020-06-21,2021-09-04
Testing,reduce_spending,Percentage of respondents that report having to reduce spending on household needs due to the cost of the COVID-19 test,NA,B10 == 'yes' / any response to B10,NA,B10,NA,NA,2020-06-21,2021-09-04
Testing,wanted_test_14d,"Percentage of people who wanted to be tested for COVID-19 in the past 14 days, out of people who were not tested in that time",B12 == 'yes' / any response to B12,B11c == 'yes' / any response to B11c,B12,B11,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Vaccines,receive_all_doses_yes,Percentage of respondents who have received all required doses among those respondents who have not had 2 doses,"V2a == 'yes, received all required doses' / any response to V2a","V2a == 'yes, received all required doses' / any response to V2a",V2a,V2a,2021-02-07,2021-08-07,2021-01-31,2021-09-04
Vaccines,receive_all_doses_plan,Percentage of respondents who plan to receive all required doses among those respondents who have not had 2 doses,"V2a == 'yes, plan to receive all required doses' / any response to V2a","V2a == 'yes, plan to receive all required doses' / any response to V2a",V2a,V2a,2021-02-07,2021-08-07,2021-01-31,2021-09-04
Vaccines,receive_all_doses_noplan,Percentage of respondents who do not plan to receive all required doses among those respondents who have not had 2 doses,"V2a == 'no, don't plan to receive all doses' / any response to V2a","V2a == 'no, don't plan to receive all doses' / any response to V2a",V2a,V2a,2021-02-07,2021-08-07,2021-01-31,2021-09-04
Vaccines,"barrier_reason_dontneed_had_covid [US]
barrier_reason_dontneed_alreadyhad [GLOBAL]",Percentage of respondents who do not believe they need a COVID-19 vaccine beacuse they already had the COVID-19 virus.        ,V6 == 'I already had COVID-19' / any response to V6,V6 == 'I already had COVID-19' / any response to V6,V6,V6,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,"barrier_reason_dontneed_dont_spend_time [US]
barrier_reason_dontneed_dontspendtime [GLOBAL]",Percentage of respondents who do not believe they need a COVID-19 vaccine beacuse they do not spend time with any high-risk people.        ,V6 == 'I do not spend time with any high-risk group' / any response to V6,V6 == 'I do not spend time with any high-risk group' / any response to V6,V6,V6,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,"barrier_reason_dontneed_not_high_risk [US]
barrier_reason_dontneed_nothighrisk [GLOBAL]",Percentage of respondents who do not believe they need a COVID-19 vaccine beacuse they are not part of a high-risk group.        ,V6 == 'I am not a member of a high-risk group' / any response to V6,V6 == 'I am not a member of a high-risk group' / any response to V6,V6,V6,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,"barrier_reason_dontneed_precautions [US]
barrier_reason_dontneed_takeprecautions [GLOBAL]",Percentage of respondents who do not believe they need a COVID-19 vaccine beacuse they plan to use masks or other precautions instead.        ,V6 == 'I plan to use masks or other precautions instead' / any response to V6,V6 == 'I plan to use masks or other precautions instead' / any response to V6,V6,V6,2021-02-07,2022-06-25,2021-01-31,2022-06-25
